ZIP,ZIPType,CityName,StateAbbr,ZCTA_USE
02646,S,Harwich Port,MA,02646
02647,P,Hyannis Port,MA,02647
02648,S,Marstons Mills,MA,02648
02649,S,Mashpee,MA,02649
02650,S,North Chatham,MA,02650
02651,P,North Eastham,MA,02651
02652,P,North Truro,MA,02652
02653,S,Orleans,MA,02653
02655,S,Osterville,MA,02655
02657,S,Provincetown,MA,02657
02659,S,South Chatham,MA,02659
02660,S,South Dennis,MA,02660
02661,P,South Harwich,MA,02645
02662,P,South Orleans,MA,02653
02663,P,South Wellfleet,MA,02663
02664,S,South Yarmouth,MA,02664
02666,P,Truro,MA,02666
02667,S,Wellfleet,MA,02667
02668,S,West Barnstable,MA,02668
